result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dependency_num_clauses,metric_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_max_dependency_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness
667b2b4f3b54,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",551,100,76,54,5,4.4,110.2,20.0,18.2,0.21296176366419495,0.02281141845565854,"[0.016075722542073984, 0.018919289277659512, 0.007851504316233632, 0.0027763207753499497]","[0.76, 0.9797979797979798, 1.0, 1.0, 1.0]","[0.12, 0.3939393939393939, 0.7448979591836735, 0.8969072164948454, 0.96875]",2.4,3,2.785931407094198,8,0.16457096519677536,0.006063769828055399,0.5
3e5b74026010,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",585,107,75,54,5,4.392523364485982,117.0,21.4,18.8,0.208752475278016,0.006177830638049497,"[0.0006744897726810584, 0.0006748689545525433, 0.010384621179809123, 0.0006216813690562706]","[0.7009345794392523, 0.9716981132075472, 1.0, 1.0, 1.0]","[0.12149532710280374, 0.36792452830188677, 0.6761904761904762, 0.8653846153846154, 0.9611650485436893]",2.0,4,3.469098934000981,8,0.12390525833420131,0.01448234660041331,0.125
ea495e64458e,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",527,99,68,47,5,4.222222222222222,105.4,19.8,17.4,0.2066794050500748,0.012400694791372721,"[0.0006744897726810584, 0.005819682776927931, 0.009140788302535091, 0.009166428730601361]","[0.6868686868686869, 0.9897959183673469, 1.0, 1.0, 1.0]","[0.12121212121212122, 0.40816326530612246, 0.711340206185567, 0.875, 0.9473684210526315]",2.0,3,3.2723109063557816,8,0.1271364494510319,0.018628487056295717,0.125
c66a12284a71,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",474,84,59,44,4,4.488095238095238,118.5,21.0,18.0,0.20546096569639935,0.010095958022169374,"[0.002524800734086452, 0.007988873395052831, 0.004630262904114779]","[0.7023809523809523, 0.9879518072289156, 1.0, 1.0, 1.0]","[0.11904761904761904, 0.3855421686746988, 0.7195121951219512, 0.8888888888888888, 0.9625]",2.0,5,3.350887000596303,9,0.14658550335013348,0.021065365763646593,0.3333333333333333
dc17df39e205,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",519,90,67,51,5,4.633333333333334,103.8,18.0,16.4,0.21278903227226406,0.016156726538016877,"[0.0065586976297608846, 0.0007190621379531137, 0.007171995109981982, 0.017863698198337774]","[0.7444444444444445, 0.9887640449438202, 1.0, 1.0, 1.0]","[0.12222222222222222, 0.43820224719101125, 0.7727272727272727, 0.9310344827586207, 0.9883720930232558]",3.0,6,2.9472135955831607,9,0.144751426966294,0.0064092326119171705,0.3333333333333333
f44d7666d25c,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",331,52,41,25,3,5.1923076923076925,109.66666666666667,17.333333333333332,15.666666666666666,0.20950399617354076,0.010660802939581465,"[0.0061194992727703346, 0.004541303666811131]","[0.7884615384615384, 0.9411764705882353, 0.98, 1.0, 1.0]","[0.19230769230769232, 0.5490196078431373, 0.84, 0.9591836734693877, 1.0]",2.3333333333333335,4,2.662971926993815,6,0.1599243788615517,0.012979304809363768,0.14285714285714285
4f1b9b6ac191,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",372,68,51,36,3,4.3088235294117645,123.33333333333333,22.666666666666668,19.0,0.2112262751374926,0.007961810099993583,"[0.0013604984439984646, 0.006601311655995118]","[0.75, 0.9850746268656716, 1.0, 1.0, 1.0]","[0.14705882352941177, 0.34328358208955223, 0.6060606060606061, 0.8461538461538461, 0.96875]",1.6666666666666667,3,3.220935220935221,8,0.14734315224315808,0.00953474688146011,0.25
cba102f73156,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",558,108,69,47,5,4.083333333333333,111.6,21.6,18.4,0.20650240208240264,0.011238422198887876,"[0.007653439269238949, 0.005571389378923375, 6.370643774666895e-05, 0.00918830931186676]","[0.6388888888888888, 0.9439252336448598, 0.9905660377358491, 1.0, 1.0]","[0.12037037037037036, 0.40186915887850466, 0.6886792452830188, 0.8761904761904762, 0.9519230769230769]",2.6,5,3.156380312483336,9,0.1460902055968409,0.01898249299164001,0.25
0602cb30fecc,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",314,60,42,28,3,4.083333333333333,104.0,20.0,17.0,0.21079032194046746,0.003134372920701012,"[0.0012255222508401609, 0.001908850669860851]","[0.7, 0.9661016949152542, 1.0, 1.0, 1.0]","[0.15, 0.3559322033898305, 0.6551724137931034, 0.8070175438596491, 0.9464285714285714]",2.0,4,3.0371254761498667,8,0.13846919588420703,0.01040665327551038,0.3333333333333333
2d292ec989d5,"['gemini-1.5-flash', 'low']","['model', 'semantic_distance']",430,73,57,44,4,4.726027397260274,106.75,18.25,17.0,0.2110775367024081,0.007272863545525235,"[0.005634028261358087, 0.0013461167162114873, 0.003929150340718279]","[0.7808219178082192, 0.9861111111111112, 1.0, 1.0, 1.0]","[0.1095890410958904, 0.375, 0.6197183098591549, 0.8, 0.9130434782608695]",2.0,4,2.9652198160262677,7,0.1378012144047281,0.009832223751629121,0.2
